"accountID","corporate","season","planType","ticketUsage","tenure","spend","tickets","distance","renewed"
"WD6TDY7C151R","i","2021","p",0.728026975947432,2,4908,6,61.6614648674555,"nr"
"X3SB8ADEML22","c","2021","f",0.992104738159105,19,16410,2,19.5341155295423,"nr"
"KQL9RWDR1PBM","c","2021","p",0.979183619595133,5,7248,3,5.73840697109699,"r"
"6HBVBZVTIW3S","i","2021","f",0.822120369821787,23,6442,2,1.28023258410394,"r"
"CF5YSFTRFN65","c","2021","p",0.983614700201433,5,19800,8,19.0286670317104,"r"
"AQNXFCJHLNDV","i","2021","f",0.903280634749681,3,6640,4,15.5840568384156,"r"
"BER4XLFIZ6OL","c","2021","f",0.89687844410073,11,32168,4,34.9622424224716,"nr"
"UK0F74TGSQWQ","i","2021","p",0.841907444233075,6,930,1,5.35653927829117,"r"
"34TLJNC4I2T8","c","2021","p",0.87058933757944,3,18600,8,53.0692343532595,"r"
"0Q1TWWBC8C4C","c","2021","p",0.9849236844806,3,4090,2,3.56051362958014,"r"
"IV5T79WGWAIJ","i","2021","f",0.835419674068689,20,11792,4,1.21401380281895,"r"
"YIHK714HKXRX","i","2021","f",0.73592294624541,0,2692,2,35.4745897917513,"r"
"BDWVYGMAORN6","i","2021","f",0.910130070205778,9,7912,4,4.7190318396315,"nr"
"WO75HZQMES4E","i","2021","f",0.868421798590571,8,7656,4,12.6227271964475,"r"
"PVQ0LXYRS7FR","c","2021","p",0.995490430248901,1,16360,10,4.02576739154756,"r"
"PE61ZQVH9SLJ","i","2021","f",0.861946842037141,5,7028,4,2.42236495949328,"nr"
"IY0TBCT4EWOF","i","2021","f",0.787622661981732,7,7836,4,66.9727635409721,"nr"
"AB9VMG56EP7D","i","2021","f",0.752410056395456,5,7112,4,30.152665676439,"r"
"RLJ0H05PMA8X","i","2021","f",0.885383084556088,11,8680,4,8.3746102745419,"r"
"JM5YEH57E4YU","c","2021","f",0.980426881357562,24,35216,4,6.41915335692465,"r"
"88WOFMNSGRCW","c","2021","p",0.995050098893698,6,7602,3,6.2056111972779,"r"
