"ReasonForAttending","Socialize","Tailgate","TakeSelfies","PostToSocialMedia","SeeFriends","VisitKidAttractions","MeetMascot","SnacksForKids","KidsRunBases","KidsSlide","GetDinner","EatParkFood","SampleFood","GetDrinks","DrinkBeer","BuyGear","TourThePark","VisitAttractions","WatchPregameShow","SeeTheChicken","UpgradeSeats","GetAutographs","WatchGame","SeePractice","MeetPlayers"
"Special Game",2,3,4,2,2,1,3,3,9,1,4,1,2,4,4,5,1,0,9,2,2,2,9,2,1
"Support the Team",4,1,4,0,3,1,2,3,2,2,8,4,2,5,4,0,8,2,3,0,1,1,0,1,1
"Celebrate a birthday",9,1,4,2,3,2,6,0,1,3,5,4,2,0,2,5,8,4,1,1,1,2,1,1,1
"Visit the park",8,0,0,2,3,0,9,8,1,4,0,6,2,4,2,1,1,2,2,3,6,2,10,0,1
"Celebrate an anniversary",0,2,3,2,1,3,1,1,2,3,3,1,1,1,0,0,0,2,5,4,1,0,1,2,1
"Company outing",4,2,6,0,0,1,3,1,3,1,2,2,4,0,1,1,8,9,2,2,1,1,0,2,0
"No distinct reason",0,3,2,2,3,0,8,2,2,3,1,2,4,9,5,0,6,0,2,4,4,1,1,2,0
"Company outing",9,2,3,2,9,10,2,1,9,1,4,8,0,4,4,1,8,2,0,1,2,1,2,0,1
"Visit the park",1,0,8,2,2,8,4,2,0,9,4,2,4,5,1,2,0,6,2,0,1,1,1,1,2
"See my friends",1,4,2,2,0,7,1,0,1,3,1,2,2,2,1,6,3,2,9,1,1,2,0,1,0
"No distinct reason",2,2,3,0,2,2,0,2,2,9,8,3,2,2,2,0,1,1,0,10,2,2,5,1,0
"Family outing, no children",2,4,1,9,3,1,2,9,1,2,3,0,5,4,3,1,1,2,0,2,0,2,0,1,1
"Other Promotion",4,1,4,3,2,2,1,7,8,7,4,6,2,4,9,2,8,1,9,3,0,0,1,1,1
"Company outing",4,2,4,3,0,2,2,8,0,5,4,0,4,2,4,5,0,0,1,10,1,2,1,2,1
"Support the opposing team",1,1,0,1,4,2,2,3,1,7,2,4,4,4,4,0,0,2,1,7,0,0,1,0,1
"Company outing",2,4,4,3,0,4,2,3,4,2,3,4,0,8,2,7,7,6,4,7,1,1,1,1,2
"Other Promotion",3,1,2,1,4,7,2,0,5,2,4,2,5,0,4,6,0,10,8,0,2,2,1,0,1
"Other Promotion",3,2,4,1,3,8,2,1,2,0,5,3,4,4,4,1,2,2,2,1,1,1,0,2,0
"Visit the park",3,0,8,2,2,1,7,2,1,7,1,8,1,3,2,9,0,2,2,2,1,0,2,1,2
"Family outing, with children",1,0,3,1,5,0,3,1,6,5,5,4,0,3,4,9,1,7,3,0,1,0,1,1,1
"Support the opposing team",4,2,2,6,7,0,2,7,1,7,4,3,2,4,1,2,2,6,2,2,2,2,3,0,1
"Visit the park",6,9,3,2,0,2,5,3,2,2,2,1,2,5,3,1,10,7,2,0,2,1,2,0,2
"Celebrate a birthday",7,2,0,2,4,3,1,1,2,0,0,2,1,9,4,1,2,0,1,1,1,2,2,1,2
"Company outing",2,0,3,2,0,2,6,2,1,3,3,3,1,8,3,3,2,0,1,1,0,1,4,2,1
"I was given tickets",2,4,3,3,2,1,3,4,1,1,4,2,0,5,3,1,0,0,0,9,1,1,1,2,1
"I was given tickets",10,0,6,4,2,5,2,2,2,1,4,0,8,3,1,0,9,0,3,0,2,2,2,2,2
"I was given tickets",1,4,0,2,0,2,2,8,0,9,2,4,4,2,4,2,5,2,8,0,1,1,1,1,2
"I was given tickets",3,2,0,1,4,1,2,2,8,2,1,2,3,0,2,2,6,2,0,0,1,2,0,2,1
"Support the Team",0,1,3,4,0,0,2,6,6,1,0,4,3,0,2,2,2,1,0,0,1,0,0,1,1
"Other Promotion",2,0,2,2,1,6,1,0,6,6,0,5,4,1,4,3,0,1,5,3,1,1,1,0,2
"I was given tickets",3,0,3,4,4,2,2,3,1,1,1,3,2,8,2,2,4,5,10,1,2,1,1,1,1
"See a concert",4,4,8,3,1,4,2,1,0,0,0,2,4,0,0,2,2,8,3,9,2,2,0,1,1
"Special Game",7,2,2,3,9,1,0,1,1,1,1,3,4,3,2,2,5,9,2,5,0,1,1,4,0
"Family outing, no children",3,1,4,2,3,2,2,1,1,0,8,4,3,0,2,1,0,1,4,1,0,1,0,2,1
