seatID,section,sectionNumber,rowNumber,seatNumber,seasonPrice,groupPrice,singlePrice
1,1,1,1,1,190,199.5,218.49999999999997
2,1,1,1,2,190,199.5,218.49999999999997
3,1,1,1,3,190,199.5,218.49999999999997
4,1,1,1,4,190,199.5,218.49999999999997
5,1,1,1,5,190,199.5,218.49999999999997
6,1,1,1,6,190,199.5,218.49999999999997
7,1,1,2,1,190,199.5,218.49999999999997
8,1,1,2,2,190,199.5,218.49999999999997
9,1,1,2,3,190,199.5,218.49999999999997
10,1,1,2,4,190,199.5,218.49999999999997
11,1,1,2,5,190,199.5,218.49999999999997
12,1,1,2,6,190,199.5,218.49999999999997
13,1,1,3,1,190,199.5,218.49999999999997
14,1,1,3,2,190,199.5,218.49999999999997
15,1,1,3,3,190,199.5,218.49999999999997
16,1,1,3,4,190,199.5,218.49999999999997
17,1,1,3,5,190,199.5,218.49999999999997
18,1,1,3,6,190,199.5,218.49999999999997
19,1,1,4,1,190,199.5,218.49999999999997
20,1,1,4,2,190,199.5,218.49999999999997
21,1,1,4,3,190,199.5,218.49999999999997
22,1,1,4,4,190,199.5,218.49999999999997
23,1,1,4,5,190,199.5,218.49999999999997
24,1,1,4,6,190,199.5,218.49999999999997
25,1,1,5,1,190,199.5,218.49999999999997
26,1,1,5,2,190,199.5,218.49999999999997
27,1,1,5,3,190,199.5,218.49999999999997
28,1,1,5,4,190,199.5,218.49999999999997
29,1,1,5,5,190,199.5,218.49999999999997
30,1,1,5,6,190,199.5,218.49999999999997
31,1,1,6,1,190,199.5,218.49999999999997
32,1,1,6,2,190,199.5,218.49999999999997
33,1,1,6,3,190,199.5,218.49999999999997
34,1,1,6,4,190,199.5,218.49999999999997
35,1,1,6,5,190,199.5,218.49999999999997
36,1,1,7,1,190,199.5,218.49999999999997
37,1,1,7,2,190,199.5,218.49999999999997
38,1,1,7,3,190,199.5,218.49999999999997
39,1,1,7,4,190,199.5,218.49999999999997
40,1,1,7,5,190,199.5,218.49999999999997
41,1,1,8,1,190,199.5,218.49999999999997
42,1,1,8,2,190,199.5,218.49999999999997
43,1,1,8,3,190,199.5,218.49999999999997
44,1,1,8,4,190,199.5,218.49999999999997
45,1,1,8,5,190,199.5,218.49999999999997
46,1,1,9,1,190,199.5,218.49999999999997
47,1,1,9,2,190,199.5,218.49999999999997
48,1,1,9,3,190,199.5,218.49999999999997
49,1,1,9,4,190,199.5,218.49999999999997
50,1,1,9,5,190,199.5,218.49999999999997
51,1,1,10,1,190,199.5,218.49999999999997
52,1,1,10,2,190,199.5,218.49999999999997
53,1,1,10,3,190,199.5,218.49999999999997
54,1,1,10,4,190,199.5,218.49999999999997
55,1,1,10,5,190,199.5,218.49999999999997
56,1,1,11,1,190,199.5,218.49999999999997
57,1,1,11,2,190,199.5,218.49999999999997
58,1,1,11,3,190,199.5,218.49999999999997
59,1,1,11,4,190,199.5,218.49999999999997
60,1,1,11,5,190,199.5,218.49999999999997
61,1,1,12,1,190,199.5,218.49999999999997
62,1,1,12,2,190,199.5,218.49999999999997
63,1,1,12,3,190,199.5,218.49999999999997
64,1,1,12,4,190,199.5,218.49999999999997
65,1,1,12,5,190,199.5,218.49999999999997
66,2,1,1,1,159,166.95000000000002,182.85
67,2,1,1,2,159,166.95000000000002,182.85
68,2,1,1,3,159,166.95000000000002,182.85
69,2,1,1,4,159,166.95000000000002,182.85
70,2,1,1,5,159,166.95000000000002,182.85
71,2,1,1,6,159,166.95000000000002,182.85
72,2,1,2,1,159,166.95000000000002,182.85
73,2,1,2,2,159,166.95000000000002,182.85
74,2,1,2,3,159,166.95000000000002,182.85
75,2,1,2,4,159,166.95000000000002,182.85
76,2,1,2,5,159,166.95000000000002,182.85
77,2,1,2,6,159,166.95000000000002,182.85
78,2,1,3,1,159,166.95000000000002,182.85
79,2,1,3,2,159,166.95000000000002,182.85
80,2,1,3,3,159,166.95000000000002,182.85
81,2,1,3,4,159,166.95000000000002,182.85
82,2,1,3,5,159,166.95000000000002,182.85
83,2,1,3,6,159,166.95000000000002,182.85
84,2,1,4,1,159,166.95000000000002,182.85
85,2,1,4,2,159,166.95000000000002,182.85
86,2,1,4,3,159,166.95000000000002,182.85
87,2,1,4,4,159,166.95000000000002,182.85
88,2,1,4,5,159,166.95000000000002,182.85
89,2,1,4,6,159,166.95000000000002,182.85
90,2,1,5,1,159,166.95000000000002,182.85
91,2,1,5,2,159,166.95000000000002,182.85
92,2,1,5,3,159,166.95000000000002,182.85
93,2,1,5,4,159,166.95000000000002,182.85
94,2,1,5,5,159,166.95000000000002,182.85
95,2,1,5,6,159,166.95000000000002,182.85
96,2,1,6,1,159,166.95000000000002,182.85
97,2,1,6,2,159,166.95000000000002,182.85
98,2,1,6,3,159,166.95000000000002,182.85
99,2,1,6,4,159,166.95000000000002,182.85
100,2,1,6,5,159,166.95000000000002,182.85
101,2,1,6,6,159,166.95000000000002,182.85
102,2,1,7,1,159,166.95000000000002,182.85
103,2,1,7,2,159,166.95000000000002,182.85
104,2,1,7,3,159,166.95000000000002,182.85
105,2,1,7,4,159,166.95000000000002,182.85
106,2,1,7,5,159,166.95000000000002,182.85
107,2,1,8,1,159,166.95000000000002,182.85
108,2,1,8,2,159,166.95000000000002,182.85
109,2,1,8,3,159,166.95000000000002,182.85
110,2,1,8,4,159,166.95000000000002,182.85
111,2,1,8,5,159,166.95000000000002,182.85
112,2,1,9,1,159,166.95000000000002,182.85
113,2,1,9,2,159,166.95000000000002,182.85
114,2,1,9,3,159,166.95000000000002,182.85
115,2,1,9,4,159,166.95000000000002,182.85
116,2,1,9,5,159,166.95000000000002,182.85
117,2,1,10,1,159,166.95000000000002,182.85
118,2,1,10,2,159,166.95000000000002,182.85
119,2,1,10,3,159,166.95000000000002,182.85
120,2,1,10,4,159,166.95000000000002,182.85
121,2,1,10,5,159,166.95000000000002,182.85
122,2,1,11,1,159,166.95000000000002,182.85
123,2,1,11,2,159,166.95000000000002,182.85
124,2,1,11,3,159,166.95000000000002,182.85
125,2,1,11,4,159,166.95000000000002,182.85
126,2,1,11,5,159,166.95000000000002,182.85
127,2,1,12,1,159,166.95000000000002,182.85
128,2,1,12,2,159,166.95000000000002,182.85
129,2,1,12,3,159,166.95000000000002,182.85
130,2,1,12,4,159,166.95000000000002,182.85
131,2,1,12,5,159,166.95000000000002,182.85
132,3,1,1,1,149,156.45000000000002,171.35
133,3,1,1,2,149,156.45000000000002,171.35
134,3,1,1,3,149,156.45000000000002,171.35
135,3,1,1,4,149,156.45000000000002,171.35
136,3,1,1,5,149,156.45000000000002,171.35
137,3,1,1,6,149,156.45000000000002,171.35
138,3,1,1,7,149,156.45000000000002,171.35
139,3,1,2,1,149,156.45000000000002,171.35
140,3,1,2,2,149,156.45000000000002,171.35
141,3,1,2,3,149,156.45000000000002,171.35
142,3,1,2,4,149,156.45000000000002,171.35
143,3,1,2,5,149,156.45000000000002,171.35
144,3,1,2,6,149,156.45000000000002,171.35
145,3,1,2,7,149,156.45000000000002,171.35
146,3,1,3,1,149,156.45000000000002,171.35
147,3,1,3,2,149,156.45000000000002,171.35
148,3,1,3,3,149,156.45000000000002,171.35
149,3,1,3,4,149,156.45000000000002,171.35
150,3,1,3,5,149,156.45000000000002,171.35
151,3,1,3,6,149,156.45000000000002,171.35
152,3,1,3,7,149,156.45000000000002,171.35
153,3,1,4,1,149,156.45000000000002,171.35
154,3,1,4,2,149,156.45000000000002,171.35
155,3,1,4,3,149,156.45000000000002,171.35
156,3,1,4,4,149,156.45000000000002,171.35
157,3,1,4,5,149,156.45000000000002,171.35
158,3,1,4,6,149,156.45000000000002,171.35
159,3,1,4,7,149,156.45000000000002,171.35
160,3,1,5,1,149,156.45000000000002,171.35
161,3,1,5,2,149,156.45000000000002,171.35
162,3,1,5,3,149,156.45000000000002,171.35
163,3,1,5,4,149,156.45000000000002,171.35
164,3,1,5,5,149,156.45000000000002,171.35
165,3,1,5,6,149,156.45000000000002,171.35
166,3,1,5,7,149,156.45000000000002,171.35
167,3,1,6,1,149,156.45000000000002,171.35
168,3,1,6,2,149,156.45000000000002,171.35
169,3,1,6,3,149,156.45000000000002,171.35
170,3,1,6,4,149,156.45000000000002,171.35
171,3,1,6,5,149,156.45000000000002,171.35
172,3,1,6,6,149,156.45000000000002,171.35
173,3,1,6,7,149,156.45000000000002,171.35
174,3,1,7,1,149,156.45000000000002,171.35
175,3,1,7,2,149,156.45000000000002,171.35
176,3,1,7,3,149,156.45000000000002,171.35
177,3,1,7,4,149,156.45000000000002,171.35
178,3,1,7,5,149,156.45000000000002,171.35
179,3,1,7,6,149,156.45000000000002,171.35
180,3,1,7,7,149,156.45000000000002,171.35
181,3,1,8,1,149,156.45000000000002,171.35
182,3,1,8,2,149,156.45000000000002,171.35
183,3,1,8,3,149,156.45000000000002,171.35
184,3,1,8,4,149,156.45000000000002,171.35
185,3,1,8,5,149,156.45000000000002,171.35
186,3,1,8,6,149,156.45000000000002,171.35
187,3,1,8,7,149,156.45000000000002,171.35
188,3,1,9,1,149,156.45000000000002,171.35
189,3,1,9,2,149,156.45000000000002,171.35
190,3,1,9,3,149,156.45000000000002,171.35
191,3,1,9,4,149,156.45000000000002,171.35
192,3,1,9,5,149,156.45000000000002,171.35
193,3,1,9,6,149,156.45000000000002,171.35
194,3,1,9,7,149,156.45000000000002,171.35
195,3,1,10,1,149,156.45000000000002,171.35
196,3,1,10,2,149,156.45000000000002,171.35
197,3,1,10,3,149,156.45000000000002,171.35
198,3,1,10,4,149,156.45000000000002,171.35
199,3,1,10,5,149,156.45000000000002,171.35
200,3,1,10,6,149,156.45000000000002,171.35
201,3,1,10,7,149,156.45000000000002,171.35
202,3,1,11,1,149,156.45000000000002,171.35
203,3,1,11,2,149,156.45000000000002,171.35
204,3,1,11,3,149,156.45000000000002,171.35
205,3,1,11,4,149,156.45000000000002,171.35
206,3,1,11,5,149,156.45000000000002,171.35
207,3,1,11,6,149,156.45000000000002,171.35
208,3,1,11,7,149,156.45000000000002,171.35
209,3,1,12,1,149,156.45000000000002,171.35
210,3,1,12,2,149,156.45000000000002,171.35
211,3,1,12,3,149,156.45000000000002,171.35
212,3,1,12,4,149,156.45000000000002,171.35
213,3,1,12,5,149,156.45000000000002,171.35
214,3,1,12,6,149,156.45000000000002,171.35
215,4,1,1,1,140,147,161
216,4,1,1,2,140,147,161
217,4,1,1,3,140,147,161
218,4,1,1,4,140,147,161
219,4,1,1,5,140,147,161
220,4,1,1,6,140,147,161
221,4,1,1,7,140,147,161
222,4,1,1,8,140,147,161
223,4,1,1,9,140,147,161
224,4,1,1,10,140,147,161
225,4,1,1,11,140,147,161
226,4,1,1,12,140,147,161
227,4,1,2,1,140,147,161
